population,men,women,white,black,hispanic,asian,native,average_income,poverty,employed,unemployed,winning_party
58480.0,48.6,51.4,47.8,42.4,5.2,0.7,0.4,38988.0,20.9,39.26,9.7,2
58480.0,48.6,51.4,47.8,42.4,5.2,0.7,0.4,38988.0,20.9,39.26,9.7,1
86937.0,50.0,50.0,86.2,9.3,2.3,0.8,0.2,53483.0,13.7,44.31,5.8,2
208721.0,48.59,51.41,78.5,11.7,5.8,1.9,0.2,74063.0,8.3,49.87,4.3,2
57667.0,49.4,50.6,87.4,1.5,9.0,0.1,0.3,47412.0,15.6,37.07,4.9,2
13084.0,46.11,53.89,24.6,70.7,0.3,3.0,0.5,21663.0,36.0,33.27,13.4,2
13084.0,46.11,53.89,24.6,70.7,0.3,3.0,0.5,21663.0,36.0,33.27,13.4,1
80888.0,48.39,51.61,63.1,32.1,2.2,0.6,0.3,39219.0,19.3,38.25,10.0,2
40756.0,48.13,51.87,68.9,27.2,2.4,0.4,0.4,42181.0,21.2,37.58,9.2,2
204424.0,48.29,51.71,62.4,31.2,3.5,1.5,0.1,50513.0,17.3,44.49,6.7,2
64927.0,48.84,51.16,89.4,6.0,2.4,0.5,0.1,38872.0,21.5,37.4,10.0,2
16746.0,49.81,50.19,65.1,24.6,0.5,0.9,7.5,42185.0,22.0,34.1,11.0,2
10919.0,46.67,53.33,26.9,72.1,0.5,0.0,0.1,27012.0,31.9,26.57,17.2,2
10919.0,46.67,53.33,26.9,72.1,0.5,0.0,0.1,27012.0,31.9,26.57,17.2,1
23968.0,49.44,50.56,94.1,0.5,3.0,0.3,0.3,35362.0,18.7,37.14,9.4,2
10478.0,53.6,46.4,21.6,75.6,0.3,0.7,1.0,29655.0,28.5,40.94,12.1,2
10478.0,53.6,46.4,21.6,75.6,0.3,0.7,1.0,29655.0,28.5,40.94,12.1,1
20126.0,46.79,53.21,52.2,44.7,0.3,1.1,0.1,36326.0,24.4,38.39,7.6,2
115527.0,48.12,51.88,72.7,20.4,3.6,1.0,0.2,43686.0,18.6,41.02,10.1,2
33895.0,48.15,51.85,56.2,39.3,2.2,1.0,0.3,37342.0,18.8,42.86,6.4,2
107902.0,50.08,49.92,41.6,0.7,11.2,0.6,43.2,38798.0,29.1,30.76,16.3,2
1007257.0,49.21,50.79,52.6,3.2,36.6,2.6,2.4,48676.0,18.3,43.04,8.4,2
1007257.0,49.21,50.79,52.6,3.2,36.6,2.6,2.4,48676.0,18.3,43.04,8.4,1
405537.0,52.19,47.81,57.4,4.3,29.6,1.6,4.3,52628.0,15.5,35.74,7.8,2
46358.0,47.95,52.05,15.0,0.3,83.4,0.8,0.2,39630.0,21.8,37.58,8.7,2
46358.0,47.95,52.05,15.0,0.3,83.4,0.8,0.2,39630.0,21.8,37.58,8.7,1
220972.0,48.92,51.08,80.9,0.5,14.3,0.9,1.5,48259.0,14.7,37.8,7.3,2
204281.0,51.36,48.64,31.8,1.8,62.9,1.1,0.9,43253.0,19.7,36.66,10.9,2
71602.0,49.38,50.62,18.5,0.5,6.1,0.3,72.8,32360.0,35.9,25.41,14.1,2
71602.0,49.38,50.62,18.5,0.5,6.1,0.3,72.8,32360.0,35.9,25.41,14.1,1
